# ----------------------------------------
# Report CSV Export
# Account: Just For Traveller
# Property: http://justfortraveller.in/
# ----------------------------------------
# 
# All Users
# Start date: 20230813
# End date: 20230909
Page path and screen class,Town/City,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue,Bounce rate
/affiliate-agreement/,Bhilwara,2,1,2,74,6,0,0,1
/best-travel-pill-organizers-cases-boxes/,Forest City,2,2,1,0,10,0,0,1
/category/travel-inspiration/,Bhilwara,2,2,1,2,4,0,0,1
/ear-plug-for-flight/,Chennai,2,2,1,2.5,8,0,0,1
/ear-plug-for-flight/,Fort Worth,2,2,1,0,10,0,0,1
/ear-plug-for-flight/,Guwahati,2,2,1,0,8,0,0,1
/ear-plug-for-flight/,Mumbai,2,2,1,0,9,0,0,0.5
/ear-plug-for-flight/,Nagpur,2,2,1,0,7,0,0,1
/ear-plug-for-flight/,Visakhapatnam,2,2,1,0,8,0,0,1
/how-to-book-cheap-flight-tickets/,Athens,2,2,1,0,6,0,0,1
/how-to-book-cheap-flight-tickets/,Bluffton,2,1,2,372,6,0,0,0
/how-to-book-cheap-flight-tickets/,Casablanca,2,1,2,15,5,0,0,0
/how-to-book-cheap-flight-tickets/,East Orange,2,1,2,4,6,0,0,0
/how-to-book-cheap-flight-tickets/,Hanover,2,0,0,0,5,0,0,1
/how-to-book-cheap-flight-tickets/,Jersey City,2,2,1,0,8,0,0,1
/how-to-book-cheap-flight-tickets/,La Crosse,2,1,2,6,7,0,0,0
/how-to-book-cheap-flight-tickets/,Melbourne,2,2,1,1.5,8,0,0,1
/how-to-book-cheap-flight-tickets/,Miami,2,2,1,0,6,0,0,1
/how-to-book-cheap-flight-tickets/,New York,2,2,1,14.5,8,0,0,0.5
/how-to-book-cheap-flight-tickets/,Paris,2,2,1,0,6,0,0,1
/how-to-book-cheap-flight-tickets/,Rotterdam,2,2,1,43.5,7,0,0,0.5
/how-to-book-cheap-flight-tickets/,Vilnius,2,2,1,37,7,0,0,0.5
/places-to-visit-in-udaipur/,Jaipur,2,2,1,17.5,7,0,0,0.5
/places-to-visit-in-udaipur/,Mumbai,2,2,1,78,8,0,0,0.5
/post/page/2/,Ahmedabad,2,1,2,17,5,0,0,1
/privacy-policy/,Bhilwara,2,1,2,32,4,0,0,1
/products/,Bhilwara,2,0,0,0,6,0,0,1
/travel-comfort/inflatable-travel-pillow/,Ahmedabad,2,1,2,38,3,0,0,1
/ultra-portable-solar-cooker/,San Francisco,2,1,2,0,3,0,0,1
/wp-admin/%60%60https:/www.youtube.com/embed/o8J2jrF465E,Ahmedabad,2,1,2,0,3,0,0,1
/,Ashburn,1,1,1,0,5,0,0,0
/,Mumbai,1,1,1,7,6,0,0,1
/,Pune,1,1,1,6,5,0,0,1
/,San Francisco,1,1,1,47,4,0,0,0
/,Sydney,1,1,1,11,5,0,0,0
/%3Fs=margin&cat=plus-5-results,Ahmedabad,1,1,1,10,5,0,0,1
/ads.txt,Ahmedabad,1,1,1,7,5,0,0,0
/affiliate-disclosure/,Ahmedabad,1,1,1,49,3,0,0,1
/affiliate-disclosure/,Bhilwara,1,1,1,18,2,0,0,1
/affiliate-disclosure/,Kochi,1,1,1,2,3,0,0,1
/best-portable-solar-power-bank/,Aydin,1,1,1,6,5,0,0,0
/best-portable-solar-power-bank/,Izmir,1,1,1,5,5,0,0,0
/best-travel-pill-organizers-cases-boxes/,Bhilwara,1,1,1,7,3,0,0,1
/best-travel-pill-organizers-cases-boxes/,Jammu,1,1,1,0,5,0,0,1
/category/health-safety/,Jaipur,1,1,1,1,2,0,0,1
/category/outdoor-adventure/,Bhilwara,1,1,1,1,2,0,0,1
/category/travel-blog/,Jaipur,1,1,1,1,2,0,0,1
/contact-us/,Ahmedabad,1,1,1,4,2,0,0,1
/ear-plug-for-flight/,Anand,1,1,1,0,4,0,0,1
/ear-plug-for-flight/,Ankara,1,1,1,13,5,0,0,0
/ear-plug-for-flight/,Bengaluru,1,1,1,0,4,0,0,1
/ear-plug-for-flight/,Imphal,1,1,1,0,4,0,0,1
/ear-plug-for-flight/,Kota,1,1,1,0,5,0,0,1
/ear-plug-for-flight/,Latur,1,1,1,0,4,0,0,1
/ear-plug-for-flight/,Ludhiana,1,1,1,0,4,0,0,1
/ear-plug-for-flight/,Nashik,1,1,1,0,3,0,0,1
/ear-plug-for-flight/,New Delhi,1,1,1,0,3,0,0,1
/ear-plug-for-flight/,Noida,1,1,1,0,3,0,0,1
/ear-plug-for-flight/,Pimpri-Chinchwad,1,1,1,10,6,0,0,0
/ear-plug-for-flight/,Singapore,1,1,1,2,4,0,0,1
/ear-plug-for-flight/,Thiruvananthapuram,1,1,1,0,4,0,0,1
/ear-plug-for-flight/,Tiruchirappalli,1,1,1,0,4,0,0,1
/ear-plug-for-flight/,Vadodara,1,1,1,0,5,0,0,1
/home/,Gyor,1,1,1,19,5,0,0,0
/how-to-book-cheap-flight-tickets/,Aarhus,1,1,1,4,4,0,0,1
/how-to-book-cheap-flight-tickets/,Adelaide,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Asheboro,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Baghdad,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Barcelona,1,1,1,21,4,0,0,0
/how-to-book-cheap-flight-tickets/,Bealeton,1,1,1,5,4,0,0,0
/how-to-book-cheap-flight-tickets/,Bedford,1,1,1,6,5,0,0,1
/how-to-book-cheap-flight-tickets/,Bengaluru,1,1,1,20,5,0,0,0
/how-to-book-cheap-flight-tickets/,Boston,1,1,1,30,6,0,0,0.5
/how-to-book-cheap-flight-tickets/,Bryan,1,1,1,8,4,0,0,0
/how-to-book-cheap-flight-tickets/,Chapel Hill,1,1,1,0,4,0,0,0
/how-to-book-cheap-flight-tickets/,Chios,1,1,1,15,5,0,0,0
/how-to-book-cheap-flight-tickets/,Clarendon,1,0,0,0,2,0,0,1
/how-to-book-cheap-flight-tickets/,Coimbatore,1,1,1,128,4,0,0,0
/how-to-book-cheap-flight-tickets/,Connell,1,1,1,0,3,0,0,0
/how-to-book-cheap-flight-tickets/,Conyers,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Council Grove,1,1,1,74,4,0,0,0
/how-to-book-cheap-flight-tickets/,Dallas,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Danbury,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Dartford,1,1,1,0,4,0,0,1
/how-to-book-cheap-flight-tickets/,Denver,1,1,1,0,4,0,0,1
/how-to-book-cheap-flight-tickets/,Dorris,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Dublin,1,1,1,50,4,0,0,0
/how-to-book-cheap-flight-tickets/,Eastsound,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Edinburg,1,1,1,42,5,0,0,0
/how-to-book-cheap-flight-tickets/,Evart,1,1,1,41,4,0,0,0
/how-to-book-cheap-flight-tickets/,Florence,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Frankfort,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Fulshear,1,1,1,43,4,0,0,0
/how-to-book-cheap-flight-tickets/,Galveston,1,1,1,3,5,0,0,1
/how-to-book-cheap-flight-tickets/,Grants,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Greenville,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Gustine,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Hannibal,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Hearst,1,1,1,112,4,0,0,0
/how-to-book-cheap-flight-tickets/,Imperial,1,1,1,3,5,0,0,1
/how-to-book-cheap-flight-tickets/,Istanbul,1,1,1,18,5,0,0,0
/how-to-book-cheap-flight-tickets/,Jaipur,1,1,1,0,1,0,0,1
/how-to-book-cheap-flight-tickets/,Lagos,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,London,1,1,1,34,4,0,0,0
/how-to-book-cheap-flight-tickets/,Loretto,1,0,0,0,2,0,0,1
/how-to-book-cheap-flight-tickets/,Luxembourg,1,1,1,1,5,0,0,1
/how-to-book-cheap-flight-tickets/,Lynden,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Macclenny,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Madrid,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Malung,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Manchester,1,1,1,12,5,0,0,0
/how-to-book-cheap-flight-tickets/,McAllen,1,1,1,7,5,0,0,0
/how-to-book-cheap-flight-tickets/,Meerut,1,0,0,0,2,0,0,1
/how-to-book-cheap-flight-tickets/,Montreal,1,1,1,11,5,0,0,0
/how-to-book-cheap-flight-tickets/,Navan,1,1,1,23,5,0,0,0
/how-to-book-cheap-flight-tickets/,North Vernon,1,0,0,0,2,0,0,1
/how-to-book-cheap-flight-tickets/,Ontario Center,1,1,1,5,5,0,0,1
/how-to-book-cheap-flight-tickets/,Osceola,1,1,1,10,5,0,0,0
/how-to-book-cheap-flight-tickets/,Oslo Municipality,1,1,1,0,4,0,0,1
/how-to-book-cheap-flight-tickets/,Pea Ridge,1,1,1,51,4,0,0,0
/how-to-book-cheap-flight-tickets/,Perth,1,1,1,26,7,0,0,0
/how-to-book-cheap-flight-tickets/,Philadelphia,1,1,1,5,5,0,0,1
/how-to-book-cheap-flight-tickets/,Pike Creek,1,1,1,76,5,0,0,0
/how-to-book-cheap-flight-tickets/,Pireas,1,1,1,18,4,0,0,0
/how-to-book-cheap-flight-tickets/,Plummer,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Plymouth,1,1,1,21,4,0,0,0
/how-to-book-cheap-flight-tickets/,Powhatan,1,1,1,0,6,0,0,1
/how-to-book-cheap-flight-tickets/,San Jose,1,1,1,56,4,0,0,0
/how-to-book-cheap-flight-tickets/,San Juan,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Singapore,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,South Salt Lake,1,1,1,39,5,0,0,0
/how-to-book-cheap-flight-tickets/,St. Catharines,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Stigler,1,1,1,0,2,0,0,1
/how-to-book-cheap-flight-tickets/,Tijuana,1,1,1,12,5,0,0,0
/how-to-book-cheap-flight-tickets/,Timberlea,1,1,1,54,5,0,0,0
/how-to-book-cheap-flight-tickets/,Utrecht,1,1,1,84,5,0,0,0
/how-to-book-cheap-flight-tickets/,Vancouver,1,1,1,0,4,0,0,1
/how-to-book-cheap-flight-tickets/,Vientiane,1,1,1,0,3,0,0,1
/how-to-book-cheap-flight-tickets/,Vinita,1,0,0,0,2,0,0,1
/how-to-book-cheap-flight-tickets/,Virginia Beach,1,1,1,85,5,0,0,0
/how-to-book-cheap-flight-tickets/,West Liberty,1,1,1,192,5,0,0,0
/how-to-book-cheap-flight-tickets/,Westwood,1,1,1,0,4,0,0,1
/how-to-book-cheap-flight-tickets/,Ypsilanti Charter Township,1,1,1,0,4,0,0,1
/how-to-book-cheap-flight-tickets/,Zimmerman,1,1,1,2,5,0,0,1
/page/2/,Bhilwara,1,1,1,0,2,0,0,1
/party-starter-travel-games/,Jodhpur,1,1,1,10,4,0,0,0
/party-starter-travel-games/,Mumbai,1,1,1,0,3,0,0,1
/party-starter-travel-games/,Trondheim Municipality,1,1,1,0,3,0,0,1
/places-to-visit-in-udaipur/,Agra,1,1,1,0,3,0,0,1
/places-to-visit-in-udaipur/,Delhi,1,1,1,7,4,0,0,0
/places-to-visit-in-udaipur/,Detroit,1,1,1,0,4,0,0,1
/places-to-visit-in-udaipur/,Markham,1,1,1,0,4,0,0,1
/places-to-visit-in-udaipur/,Quezon City,1,1,1,0,3,0,0,1
/portable-refillable-spray-bottle/,Bhilwara,1,1,1,3,2,0,0,1
/privacy-policy/,Ahmedabad,1,1,1,60,3,0,0,1
/terms-of-use/,Bhilwara,1,1,1,27,2,0,0,1
/travel-hotel-door-lock/,Bruck an der Leitha,1,1,1,0,3,0,0,1
/travel-hotel-door-lock/,Vancouver,1,1,1,3,4,0,0,1
/best-portable-solar-power-bank/,Jaipur,0,1,0,1,1,0,0,1
/how-to-book-cheap-flight-tickets/,Astoria,0,1,0,163,1,0,0,1
/how-to-book-cheap-flight-tickets/,Charlotte,0,1,0,148,1,0,0,1
